ID,ID список профессий,№ группы,Вес профессии в соответсвии,Уровень должности,Вес профессии в уровне,Наименование професии и различные написания
1,1,1,1,0,1,Водитель-испытатель
2,1,1,0,0,0,Водитель испытатель
3,1,1,0,0,0,Водитель - испытатель
4,1,1,0,0,0,Водитель -испытатель
5,1,1,0,0,0,Водитель- испытатель
6,2,1,1,0,1,Водитель испытатель мототранспортных средств
7,2,1,0,0,0,Водитель-испытатель мототранспортных средств
8,2,1,0,0,0,Водитель- испытатель мототранспортных средств
9,2,1,0,0,0,Водитель -испытатель мототранспортных средств
10,2,1,0,0,0,Водитель - испытатель мототранспортных средств
11,3,1,1,0,1,Водитель испытатель легковых автомобилей
12,3,1,0,0,0,Водитель-испытатель легковых автомобилей
13,3,1,0,0,0,Водитель - испытатель легковых автомобилей
14,3,1,0,0,0,Водитель -испытатель легковых автомобилей
15,3,1,0,0,0,Водитель- испытатель легковых автомобилей
16,4,1,1,0,1,Водитель испытатель пассажирского транспорта
17,4,1,0,0,0,Водитель-испытатель пассажирского транспорта
18,4,1,0,0,0,Водитель - испытатель пассажирского транспорта
19,4,1,0,0,0,Водитель- испытатель пассажирского транспорта
20,4,1,0,0,0,Водитель -испытатель пассажирского транспорта
21,4,1,0,0,0,Водитель испытатель пасажирского транспорта
22,4,1,0,0,0,Водитель-испытатель пасажирского транспорта
23,4,1,0,0,0,Водитель - испытатель пасажирского транспорта
24,4,1,0,0,0,Водитель- испытатель пасажирского транспорта
25,4,1,0,0,0,Водитель -испытатель пасажирского транспорта
26,5,1,1,0,1,Водитель испытатель грузового транспорта
27,5,1,0,0,0,Водитель-испытатель грузового транспорта
28,5,1,0,0,0,Водитель - испытатель грузового транспорта
29,5,1,0,0,0,Водитель -испытатель грузового транспорта
30,5,1,0,0,0,Водитель- испытатель грузового транспорта
31,6,2,1,0,1,Испытатель
32,6,2,0,0,0,Инженер-испытатель
33,6,2,0,0,0,Инженер по испытаниям
34,6,2,0,1,1,Помощник инженера-испытателя
35,6,2,0,2,1,Младший инженер-испытатель
36,6,2,0,3,1,Ведущий инженер-испытатель
37,6,2,0,4,1,Главный инженер-испытатель
38,7,2,1,0,1,Испытатель двигателей
39,7,2,0,0,0,Испытатель-механик двигателей
40,7,2,0,0,0,Инженер-испытатель (двигателей и агрегатов)
41,8,2,1,0,1,Инженер-испытатель
42,8,2,0,0,0,Инженер испытатель
43,8,2,0,1,1,Помощник инженера-испытателя
44,8,2,0,2,1,Ведущий инженер-испытатель
45,8,2,0,3,1,Старший инженер-испытатель
46,8,2,0,4,1,Ведущий инженер по качеству/ ведущий инженер испытатель
47,9,2,1,0,1,Испытатель на герметичность
48,10,2,1,0,1,Контролер качества на линии
49,10,2,0,0,0,Контролер качества на производственной линии
50,11,2,1,0,1,Контролер сварочных работ
51,11,2,0,0,0,Контролер сварочных и наплавочных работ
52,11,2,0,0,0,Контролер ОТК сварочных работ
53,11,2,0,0,0,Контролер ОТК (сварочных работ)
54,11,2,0,0,0,Контролер ОТК сварочных работ (машиностроение)
55,11,2,0,1,0,Ученик контролера ОТК (сварочные работы)
56,11,2,0,1,0,Контролер сварочных работ. Ученик
57,11,2,0,1,1,Контролёр сварочных работ 1 разряда
58,11,2,0,2,1,Контролёр сварочных работ 2 разряда
59,11,2,0,2,1,Контролёр сварочных работ 3 разряда
60,11,2,0,3,1,Контролёр сварочных работ 4 разряда
61,11,2,0,3,0,Контролер сварочных работ 5-6 разряда
62,11,2,0,3,1,Контролёр сварочных работ 5 разряда
63,11,2,0,3,1,Контролёр сварочных работ 6 разряда
64,12,3,1,0,1,Контролер ОТК
65,12,3,0,0,0,Контролер ОТК / Инженер ОТК
66,12,3,0,0,0,Контролер качества (ОТК)
67,12,3,0,1,1,Контролер ОТК 1 разряда
68,12,3,0,2,1,Контролер ОТК 2 разряда
69,12,3,0,2,1,Контролер ОТК 3 разряда
70,12,3,0,2,1,Контролер ОТК 4 разряда
71,12,3,0,2,1,Контролер ОТК 5 разряда
72,12,3,0,2,1,Контролер ОТК 6 разряда
73,12,3,0,3,1,Заместитель начальника ОТК
74,12,3,0,4,0,Главный контролёр ОТК
75,12,3,0,4,1,Начальник ОТК
76,13,3,1,0,1,Дефектоскопист
77,13,3,0,0,0,Инженер-дефектоскопист
78,13,3,0,1,0,Помощник дефектоскописта
79,13,3,0,1,0,Помощник дефектоскописта/стажер
80,13,3,0,1,1,Дефектоскопист 1 разряд
81,13,3,0,2,1,Дефектоскопист 2 разряд
82,13,3,0,2,1,Дефектоскопист 3 разряд
83,13,3,0,2,1,Дефектоскопист 4 разряд
84,13,3,0,3,0,Ведущий инженер-дефектоскопист
85,13,3,0,3,0,Ведущий дефектоскопист
86,13,3,0,3,1,Дефектоскопист 5 разряд
87,13,3,0,3,1,Дефектоскопист 6 разряд
88,14,4,1,0,1,Инженер по гарантии
89,14,4,0,1,0,Инженер по гарантии/помощник инженера по гарантии
90,14,4,0,1,1,Помощник инженера по гарантии
91,14,4,0,2,1,Младший гарантийный инженер
92,14,4,0,3,0,Старший инженер по гарантии
