ID,ID список профессий,№ группы,Вес профессии в соответсвии,Уровень должности,Вес профессии в уровне,Наименование професии и различные написания
1,1,1,1,0,0,Супервайзер
2,1,1,0,0,0,Супервайзер по бронированию
3,1,1,0,0,0,Супервайзер отдела приема и размещения гостей
4,1,1,0,0,0,Супервайзер/администратор
5,1,1,0,0,0,Супервайзер отдела гостиничного хозяйства
6,1,1,0,0,0,Супервайзер областных продаж
7,1,1,0,0,0,Супервайзер гостевой зоны
8,1,1,0,0,0,Supervisor
9,1,1,0,1,1,супервайзер стажер
10,1,1,0,1,0,супервайзер помощник
11,1,1,0,1,0,помощник супервайзера
12,1,1,0,2,1,Младший супервайзер
13,1,1,0,3,1,Старший супервайзер
14,1,1,0,3,0,Старший смены отдела гостиничного хозяйства
15,1,1,0,3,0,Старшая горничная
16,2,2,1,0,0,Хостес
17,2,2,0,0,0,Администратор службы приема и размещения
18,2,2,0,0,0,Менеджер по встрече гостей
19,3,3,1,0,0,Администратор
20,3,3,0,0,0,Администратор службы приема и размещения
21,3,3,0,0,0,Администратор службы приема гостей
22,3,3,0,0,0,Администратор на ресепшен
23,3,3,0,0,0,Ночной администратор
24,3,3,0,0,0,Администратор гостиницы
25,3,3,0,0,0,Администратор в сеть апарт-отелей
26,3,3,0,0,0,Администратор отеля
27,3,3,0,0,0,Администратор ресепшен
28,3,3,0,0,0,Администратор на ресепшен отеля
29,3,3,0,0,0,Администратор на базу отдыха
30,3,3,0,0,0,Администратор в мини-отель
31,3,3,0,0,0,Администратор в сеть апартаментов
32,3,3,0,1,1,Помощник администратора отеля
33,3,3,0,1,0,Помощник администратора гостиницы
34,3,3,0,1,0,Помощник администратора на ресепшен
35,3,3,0,1,0,Администратор стажер
36,3,3,0,2,1,Младший администратор
37,3,3,0,2,0,Администратор службы приёма и размещения
38,3,3,0,3,1,Старший администратор гостиницы
39,3,3,0,3,0,Старший администратор в отель
40,3,3,0,3,0,Старший Администратор Комплекса Отдыха
41,4,3,1,0,0,Администратор гостиницы
42,4,3,0,0,0,Администратор
43,4,3,0,0,0,Администратор службы приема и размещения
44,4,3,0,0,0,Администратор службы приема гостей
45,4,3,0,0,0,Администратор на ресепшен
46,4,3,0,0,0,Ночной администратор
47,4,3,0,0,0,Администратор гостиницы
48,4,3,0,0,0,Администратор в сеть апарт-отелей
49,4,3,0,0,0,Администратор отеля
50,4,3,0,0,0,Администратор ресепшен
51,4,3,0,0,0,Администратор на ресепшен отеля
52,4,3,0,0,0,Администратор на базу отдыха
53,4,3,0,0,0,Администратор в мини-отель
54,4,3,0,0,0,Администратор в сеть апартаментов
55,4,3,0,1,1,Помощник администратора отеля
56,4,3,0,1,0,Помощник администратора гостиницы
57,4,3,0,1,0,Помощник администратора на ресепшен
58,4,3,0,1,0,Администратор стажер
59,4,3,0,2,1,Младший администратор
60,4,3,0,2,0,Администратор службы приёма и размещения
61,4,3,0,3,1,Старший администратор гостиницы
62,4,3,0,3,0,Старший администратор в отель
63,4,3,0,3,0,Старший Администратор Комплекса Отдыха
64,5,3,1,0,0,Администратор жилого комплекса
65,5,3,0,0,0,Администратор гостиницы
66,5,3,0,0,0,Администратор
67,5,3,0,0,0,Администратор службы приема и размещения
68,5,3,0,0,0,Администратор службы приема гостей
69,5,3,0,0,0,Администратор на ресепшен
70,5,3,0,0,0,Ночной администратор
71,5,3,0,0,0,Администратор гостиницы
72,5,3,0,0,0,Администратор в сеть апарт-отелей
73,5,3,0,0,0,Администратор отеля
74,5,3,0,0,0,Администратор ресепшен
75,5,3,0,0,0,Администратор на ресепшен отеля
76,5,3,0,0,0,Администратор на базу отдыха
77,5,3,0,0,0,Администратор в мини-отель
78,5,3,0,0,0,Администратор в сеть апартаментов
79,5,3,0,1,1,Помощник администратора отеля
80,5,3,0,1,0,Помощник администратора гостиницы
81,5,3,0,1,0,Помощник администратора на ресепшен
82,5,3,0,1,0,Администратор стажер
83,5,3,0,2,1,Младший администратор
84,5,3,0,2,0,Администратор службы приёма и размещения
85,5,3,0,3,1,Старший администратор гостиницы
86,5,3,0,3,0,Старший администратор в отель
87,5,3,0,3,0,Старший Администратор Комплекса Отдыха
88,6,4,1,0,0,Менеджер
89,6,4,0,0,0,Менеджер по работе с горячими заявками
90,6,4,0,0,0,Менеджер по работе с клиентами
91,7,4,1,0,0,Менеджер гостиничного сервиса
92,8,4,1,0,0,Менеджер по работе с клиентами гостиницы
93,8,4,0,0,0,Менеджер по работе с клиентами гостиницы
94,9,4,1,3,1,Руководитель/управляющий гостиничного комплекса/сети гостиниц
95,9,4,0,3,0,Старший администратор гостиницы
96,9,4,0,3,0,Старший администратор в отель
97,9,4,0,3,0,Старший Администратор Комплекса Отдыха
98,10,5,1,0,0,Специалист по санаторно-курортному делу
99,11,6,1,0,0,Горничная
100,11,6,0,0,0,Горничная в отель
101,11,6,0,0,0,Горничная номерного фонда
102,11,6,0,0,0,Горничная в отель
103,12,7,1,0,0,Работник по приему и размещению гостей
104,13,8,1,0,0,Супервайзер номерного фонда
105,13,8,0,0,0,Супервайзер
106,13,8,0,0,0,Супервайзер по бронированию
107,13,8,0,0,0,Супервайзер отдела приема и размещения гостей
108,13,8,0,0,0,Супервайзер/администратор
109,13,8,0,0,0,Супервайзер отдела гостиничного хозяйства
110,13,8,0,0,0,Супервайзер областных продаж
111,13,8,0,0,0,Супервайзер гостевой зоны
112,13,8,0,0,0,Supervisor
113,13,8,0,1,1,супервайзер стажер
114,13,8,0,1,0,супервайзер помощник
115,13,8,0,1,0,помощник супервайзера
116,13,8,0,2,1,Младший супервайзер
117,13,8,0,3,1,Старший супервайзер
118,13,8,0,3,0,Старший смены отдела гостиничного хозяйства
119,13,8,0,3,0,Старшая горничная
120,14,9,1,0,0,Швейцар
121,14,9,0,0,0,Bellman
122,14,9,0,0,0,Подносчик багажа
123,14,9,0,0,0,Швейцар в гостинице
124,14,9,0,0,0,Ночной швейцар
125,14,9,0,0,0,багажист
126,14,9,0,0,0,Подносчик багажа
127,14,9,0,0,0,Bell-Boy
128,14,9,0,0,0,Швейцар-портье
129,15,10,1,0,0,Аппаратчик бельевых сушильных установок
130,16,11,1,0,0,Гладильщик
131,16,11,0,0,0,гладильщик белья
132,16,11,0,0,0,Гладильщица
133,16,11,0,0,0,гладильщик в химчистку
134,17,12,1,0,0,Комплектовщик белья
135,18,13,1,0,0,Контролер качества обработки одежды и белья
136,19,14,1,0,0,Оператор прачечной самообслуживания
137,20,15,1,0,0,Оператор стиральных машин
138,20,15,0,0,0,Сотрудник прачечной
139,20,15,0,0,0,Оператор прачечной
140,20,15,0,0,0,Оператор стиральных машин в прачечную
141,21,16,1,0,0,Отжимщик белья на центрифугах
142,22,17,1,0,0,Подготовитель белья для глажения
143,23,18,1,0,0,Приготовитель стиральных растворов
144,24,19,1,0,0,Аппаратчик химической чистки
145,24,19,0,0,0,пятновыводчик химической чистки и Аква чистки
146,24,19,0,0,0,Аппаратчик - пятновыводчик
147,24,19,0,0,0,технолог химчистки
148,25,20,1,0,0,Аппаратчик чистки ковровых изделий
149,26,21,1,0,0,Аппаратчик чистки пухо-перовых изделий
150,27,22,1,0,0,Комплектовщик изделий
151,28,23,1,0,0,Контролер качества обработки изделий
152,29,24,1,0,0,Красильщик
153,30,25,1,0,0,Отделочник головных уборов
154,31,26,1,0,0,Отпарщик-прессовщик
155,32,27,1,0,0,Пятновыводчик
156,32,27,0,0,0,Аппаратчик - пятновыводчик 
157,32,27,0,0,0,технолог химчистки
158,33,28,1,0,0,Сушильщик изделий
159,34,29,1,0,0,менеджер по туризму
160,34,29,0,0,0,Специалист по туризму
161,34,29,0,0,0,турагент
162,34,29,0,0,0,Онлайн-турагент
163,34,29,0,0,0,Турагент (онлайн)
164,34,29,0,0,0,Онлайн-турагент
165,34,29,0,0,0,Менеджер по туризму / турагент
166,34,29,0,1,1,Ассистент менеджера по туризму
167,34,29,0,1,0,Помощник менеджера по туризму
168,34,29,0,1,0,Стажер-Менеджер по туризму
169,34,29,0,1,0,Помощник менеджера по туризму (Стажёр)
170,34,29,0,1,0,стажер турагент
171,34,29,0,1,0,Помощник турагента
172,34,29,0,2,1,Младший менеджер по туризму
173,34,29,0,2,0,Младший менеджер по внутреннему туризму
174,34,29,0,2,0,Младший турагент
175,34,29,0,2,0,начинающий турагент
176,34,29,0,2,0,Начинающий менеджер по внутреннему туризму
177,34,29,0,2,0,Начинающий менеджер по туризму
178,34,29,0,3,1,Ведущий менеджер по туризму
179,34,29,0,3,0,Ведущий турагент
180,34,29,0,4,1,Старший менеджер по туризму
181,34,29,0,4,0,Старший турагент
182,34,29,0,4,0,Главный турагент
